trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
152,False,"{'a': 0.8589882807411235, 'e': 0.21871188695221477}",20,6,9.568052762452645,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.8581297218113938, 'e': 0.21653566731600707}",30,0,-1.5970955970582068,"{0: 27, 1: 0, 2: 2, 3: 1, 4: 0}",0
154,False,"{'a': 0.8572720210114575, 'e': 0.21438110142697797}",20,0,8.53561164326889,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
155,False,"{'a': 0.8564151774836135, 'e': 0.21224797382674307}",20,15,-4.286160824510565,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.8555591903710185, 'e': 0.21013607120076475}",20,9,22.096639765885815,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.8547040588176851, 'e': 0.20804518235702046}",20,2,14.845158605208232,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
158,False,"{'a': 0.8538497819684817, 'e': 0.20597509820488347}",25,13,-18.654452311248374,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
159,False,"{'a': 0.8529963589691315, 'e': 0.20392561173421345}",20,0,-3.1574766176329083,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
160,False,"{'a': 0.8521437889662113, 'e': 0.2018965179946554}",35,0,-48.76794773409808,"{0: 26, 1: 4, 2: 4, 3: 1, 4: 0}",0
161,False,"{'a': 0.8512920711071511, 'e': 0.1998876140751445}",30,18,23.604854219960693,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.850441204540233, 'e': 0.19789869908361468}",25,7,17.437832236746353,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.8495911884145902, 'e': 0.19592957412690934}",30,0,30.074810885189276,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
164,False,"{'a': 0.8487420218802068, 'e': 0.19398004229089189}",25,0,6.0287831619793035,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
165,False,"{'a': 0.8478937040879159, 'e': 0.1920499086207541}",20,0,-6.2301319844074,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
166,False,"{'a': 0.8470462341893996, 'e': 0.19013898010152053}",25,14,-59.1094418578689,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 2}",1
167,False,"{'a': 0.8461996113371882, 'e': 0.1882470656387468}",20,5,13.106572664693871,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.8453538346846587, 'e': 0.18637397603941}",20,7,-51.2002693989765,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 1}",1
169,False,"{'a': 0.8445089033860343, 'e': 0.1845195239929893}",20,13,11.90348450243711,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.8436648165963837, 'e': 0.18268352405273466}",20,12,9.058716127119725,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.8428215734716199, 'e': 0.1808657926171221}",30,10,39.10262187890842,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
